Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
AQUATRADE Bram;110766;LS73871;nein;09.01.2026;Logistik;24977;BGW Delmenhorst;BGW Bezirksverwaltung Delmenhorst;Schulstraße 44;27749;Delmenhorst;;;;
AQUATRADE Bram;110767;LS73872;nein;09.01.2026;Logistik;24977;BGW Delmenhorst;BGW Bezirksverwaltung Delmenhorst;Schulstraße 44;27749;Delmenhorst;;;;
AQUATRADE Glinde;110768;LS73873;ja;27.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110769;LS73874;ja;27.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110770;LS73875;ja;27.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110771;LS73876;ja;27.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110772;LS73877;ja;27.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110773;LS73878;ja;27.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110774;LS73879;ja;27.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110775;LS73880;nein;09.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110776;LS73881;nein;09.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110777;LS73882;nein;09.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110778;LS73883;nein;09.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110779;LS73884;nein;09.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110780;LS73885;ja;20.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110781;LS73886;nein;09.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110782;LS73887;nein;09.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110783;LS73888;nein;09.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
AQUATRADE Glinde;110784;LS73889;nein;09.01.2026;Logistik;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
VST Plep;110785;LS73890;ja;15.01.2026;Logistik;25076;Zener Telekom GmbH;Zener Telekom GmbH;Zimmersmühlenweg 14-18;61440;Oberursel;;;;
Planegg;110786;LS73891;ja;17.02.2026;Logistik;25188;Berninger Großhadern;Berninger;Gräfelfinger Str. 133e;81377;München;;;;
Planegg;110787;LS73892;nein;09.01.2026;Logistik;25015;Bayer Verwaltungsschule BVS;Bayerische Verwaltungsschule (BVS);Ridlerstraße 75;80339;München;;;;
Schöttle - Haiterbach;110788;LS73893;ja;04.02.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Berliner Str. 23;78048;Villingen-Schwenningen;;;;
Schöttle - Haiterbach;110789;LS73894;ja;04.02.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Berliner Str. 23;78048;Villingen-Schwenningen;;;;
AQUATRADE Bram;110791;LS73895;ja;29.01.2026;Logistik;25501;Falck Rettungsdienst Nord;Falck Rettungsdienst Nord GmbH;Rathausstr. 8;31174;Schellerten;;;;
VST Schörling;110792;LS73896;ja;23.02.2026;Logistik;22522;Arcus Elektrotechnik;Arcus Elektrotechnik Alois Schiffma;Truderinger Str. 199;81673;München;;;;
Planegg;110793;LS73897;ja;18.02.2026;Logistik;22843;K&L Gates München;K & L Gates LLP;Karlstr. 10;80333;München;;;;
Gänshirt-Aufmbruch;110794;LS73898;ja;16.01.2026;Logistik;25572;Münchener Assekuranz Vermittl.;Münchener Assekuranz Vermittlungs G;Willy-Brandt-Platz 3;46045;Oberhausen;;;;
Nothhelfer/Ulm+50km;110795;LS73899;ja;12.02.2026;Logistik;22379;Lebenshilfe Donau Iller;Lebenshilfe Donau Iller Kindheit u.;Staufenring 7;89073;Ulm;;;;
Planegg;110796;LS73900;ja;21.01.2026;Logistik;25521;Riek Steuerberatung;Riek Steuerberatung GmbH & Co.KG;Lipowskystraße 10;81373;München;;;;
Gänshirt-Aufmbruch;110797;LS73901;ja;26.01.2026;Logistik;24609;Semperit;Semperit Profiles Leeser GmbH;Ottostraße 15;41836;Hückelhoven;;;;
Bastian;110798;LS73902;ja;14.01.2026;Logistik;25412;Gautzsch Großhandel Bayern(2);H. Gautzsch Großhandel Bayern GmbH;Josef-Rädlinger-Str. 3;94575;Windorf;;;;
Planegg;110799;LS73903;ja;17.02.2026;Logistik;25616;Wittmann Entsorgungswirtschaft;Wittmann Entsorgungswirtschaft GmbH;Lochhamer Schlag 7;82166;Gräfelfing;;;;
Planegg;110800;LS73904;ja;17.02.2026;Logistik;25616;Wittmann Entsorgungswirtschaft;Wittmann Entsorgungswirtschaft GmbH;Lochhamer Schlag 7;82166;Gräfelfing;;;;
Planegg;110801;LS73905;ja;17.02.2026;Logistik;25616;Wittmann Entsorgungswirtschaft;Wittmann Entsorgungswirtschaft GmbH;Lochhamer Schlag 7;82166;Gräfelfing;;;;
Planegg;110802;LS73906;ja;17.02.2026;Logistik;25616;Wittmann Entsorgungswirtschaft;Wittmann Entsorgungswirtschaft GmbH;Lochhamer Schlag 7;82166;Gräfelfing;;;;
aboutwater Bünde;110804;LS73908;ja;15.01.2026;Logistik;25947;MOIA;MOIA Operations Germany GmbH;Vahrenwalder Straße 267;30179;Hannover;;;;
AMW Auersperg;110805;LS73909;ja;14.01.2026;Logistik;21258;Coffice;Max Solar;Hauptstraße 98;10827;Berlin;;;;
Planegg;110806;LS73910;ja;19.01.2026;Logistik;23966;Elflein Logistik Bamberg;Elflein Logistik Bamberg GmbH;Gutenbergstraße 1 b;85748;Garching;;;;
Planegg;110807;LS73911;ja;19.01.2026;Logistik;23966;Elflein Logistik Bamberg;Elflein Logistik Bamberg GmbH;Gutenbergstraße 1 b;85748;Garching;;;;
VST Schörling;110808;LS73912;ja;22.01.2026;Logistik;26108;Inova Semiconductors GmbH;Inova Semiconductors GmbH;Zielstattstr. 32;81379;München;;;;
VST Schörling;110809;LS73913;ja;22.01.2026;Logistik;26108;Inova Semiconductors GmbH;Inova Semiconductors GmbH;Zielstattstr. 32;81379;München;;;;
VST Schörling;110810;LS73914;ja;22.01.2026;Logistik;26108;Inova Semiconductors GmbH;Inova Semiconductors GmbH;Zielstattstr. 32;81379;München;;;;
VST Schörling;110811;LS73915;ja;22.01.2026;Logistik;26108;Inova Semiconductors GmbH;Inova Semiconductors GmbH;Zielstattstr. 32;81379;München;;;;
VST Schörling;110812;LS73916;ja;22.01.2026;Logistik;26108;Inova Semiconductors GmbH;Inova Semiconductors GmbH;Zielstattstr. 32;81379;München;;;;
VST Schörling;110813;LS73917;ja;22.01.2026;Logistik;26108;Inova Semiconductors GmbH;Inova Semiconductors GmbH;Zielstattstr. 32;81379;München;;;;
VST Schörling;110814;LS73918;ja;04.02.2026;Logistik;26107;Noreisch-Grillen-Catering;Noreisch-Grillen-Catering;Esmarchstr. 25;80999;München;;;;
Berlin Wein König;110815;LS73919;nein;09.01.2026;Logistik;21352;Setting;Setting HQ GmbH;Rosenthaler Str. 36;10178;Berlin;;;;
Berlin Wein König;110816;LS73920;nein;09.01.2026;Logistik;21352;Setting;Setting HQ GmbH;Linienstraße 214;10119;Berlin;;;;
aboutwater Bünde;110817;LS73921;ja;15.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Göttinger Chaussee 259;30459;Hannover;;;;
aboutwater Bünde;110818;LS73922;ja;15.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Göttinger Chaussee 209;30459;Hannover;;;;
aboutwater Bünde;110819;LS73923;ja;14.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Calenberger Str. 59;30169;Hannover;;;;
aboutwater Bünde;110820;LS73924;ja;14.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Calenberger Str. 59;30169;Hannover;;;;
aboutwater Bünde;110821;LS73925;ja;14.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Humboldstr. 33;30169;Hannover;;;;
aboutwater Bünde;110822;LS73926;ja;14.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Humboldstr. 33;30169;Hannover;;;;
aboutwater Bünde;110823;LS73927;ja;14.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Humboldstr. 33;30169;Hannover;;;;
aboutwater Bünde;110824;LS73928;ja;14.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Humboldstr. 33;30169;Hannover;;;;
aboutwater Bünde;110825;LS73929;ja;14.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Humboldstr. 33;30169;Hannover;;;;
aboutwater Bünde;110826;LS73930;ja;15.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Gropiusstr. 7;31137;Hildesheim;;;;
aboutwater Bünde;110827;LS73931;ja;15.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Friedrich-Seele-Str. 7;38122;Braunschweig;;;;
aboutwater Bünde;110828;LS73932;ja;17.02.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Auf der Hude 2;21339;Lüneburg;;;;
aboutwater Bünde;110829;LS73933;ja;12.01.2026;Logistik;25985;IT.Niedersachsen;IT.Niedersachsen;Hannoversche Str. 6 - 8;49084;Osnabrück;;;;
VST Plep;110830;LS73934;ja;14.01.2026;Logistik;22395;Kreisverwaltung Mainz-Bingen;Gymnasium Hildegardisschule Bingen;Holzhauerstr. 16;55411;Bingen;;;;
STK Service;110831;LS73935;ja;28.01.2026;Logistik;26135;Stadt Marl (2) Jugendamt;KITA ´Im Wäldchen´;Breslauer Str. 5;45768;Marl;;;;
STK Service;110832;LS73936;ja;28.01.2026;Logistik;26135;Stadt Marl (2) Jugendamt;KITA ´Im Wäldchen´;Breslauer Str. 5;45768;Marl;;;;
STK Service;110833;LS73937;ja;27.01.2026;Logistik;26135;Stadt Marl (2) Jugendamt;KITA ´Marl-Mitte´;Rappaportstr. 8a;45768;Marl;;;;
STK Service;110834;LS73938;ja;27.01.2026;Logistik;26135;Stadt Marl (2) Jugendamt;KITA ´Marl-Mitte´;Rappaportstr. 8a;45768;Marl;;;;
STK Service;110835;LS73939;ja;27.01.2026;Logistik;26135;Stadt Marl (2) Jugendamt;KITA ´Marl-Mitte´;Rappaportstr. 8a;45768;Marl;;;;
STK Service;110836;LS73940;ja;02.02.2026;Logistik;26135;Stadt Marl (2) Jugendamt;KITA ´Zwergenland´;Merkelheider Weg 58;45772;Marl;;;;
STK Service;110837;LS73941;ja;02.02.2026;Logistik;26135;Stadt Marl (2) Jugendamt;KITA ´Zwergenland´;Merkelheider Weg 58;45772;Marl;;;;
STK Service;110838;LS73942;ja;02.02.2026;Logistik;26135;Stadt Marl (2) Jugendamt;KITA ´Lummerland´;Kampstr. 130a;45772;Marl;;;;
STK Service;110839;LS73943;ja;02.02.2026;Logistik;26135;Stadt Marl (2) Jugendamt;KITA ´Lummerland´;Kampstr. 130a;45772;Marl;;;;
Berlin Wein König;110840;LS73944;ja;09.03.2026;Logistik;21144;Knotel;Knotel Berlin I GmbH;Stralauer Allee 2b;10245;Berlin;;;;
Gänshirt-Aufmbruch;110841;LS73945;ja;13.01.2026;Logistik;25905;Städtisches Gymnasium Leichlin;Städtisches Gymnasium Leichlingen;Am Hammer 2;42799;Leichlingen;;;;
STK Service;110926;LS73946;ja;25.02.2026;Logistik;26142;NK Metallverarbeitung GmbH;NK Metallverarbeitung GmbH;Gewerbering 15;41751;Viersen;;;;
STK Service;110943;LS73947;ja;25.02.2026;Logistik;26142;NK Metallverarbeitung GmbH;NK Metallverarbeitung GmbH;Gewerbering 15;41751;Viersen;;;;
STK Service;110944;LS73948;ja;25.02.2026;Logistik;26142;NK Metallverarbeitung GmbH;NK Metallverarbeitung GmbH;Gewerbering 15;41751;Viersen;;;;
STK Service;111054;LS73949;ja;25.02.2026;Logistik;26142;NK Metallverarbeitung GmbH;NK Metallverarbeitung GmbH;Gewerbering 15;41751;Viersen;;;;
aboutwater Frankfurt;111218;LS73950;ja;09.01.2026;Logistik;26594;Ludwig-Erk-Schule Langen;Förderverein der Ludwig-Erk-Schule;Bahnstraße 44;63225;Langen;;;;
VST Plep;111605;LS73951;ja;15.01.2026;Logistik;26600;Schulamt MKK;Schulamt MKK;Hessen-Homburg-Platz 8;63452;Hanau;;;;
AMW Auersperg;111643;LS73952;ja;14.01.2026;Logistik;26603;DEURAG Deutsche Rechtsschutz-V;DEURAG Deutsche Rechtsschutz-Versic;Mohrenstr. 20/21;10117;Berlin;;;;
Berlin Wein König;111761;LS73953;nein;09.01.2026;Logistik;26576;Asam Praevent Berlin;ASAM praevent GmbH;Robert-Koch-Platz 4;10115;Berlin;;;;
Planegg;111837;LS73954;ja;26.01.2026;Logistik;20362;Emons Spedition;Emons Spedition GmbH & Co. KG;Lindberghstr. 6;85399;Hallbergmoos;;;;
VST Schörling;111838;LS73955;ja;16.02.2026;Logistik;26109;Green Club München;Green Club GmbH;Schellingstraße 23;80799;München;;;;
Planegg;111839;LS73956;ja;09.03.2026;Logistik;26195;IKEA (3) München-Eching;IKEA Deutschland GmbH & Co KG;Heisenbergstraße 14;85386;Eching;;;;
STK Service;111840;LS73957;ja;23.02.2026;Logistik;26635;Rojinova GmbH;Rojinova GmbH;Schwanenstr. 31;42103;Wuppertal;;;;
aboutwater Frankfurt;111841;LS73958;ja;09.01.2026;Logistik;26603;DEURAG Deutsche Rechtsschutz-V;DEURAG Deutsche Rechtsschutz-Versic;Abraham-Lincoln-Str. 3;65189;Wiesbaden;;;;
aboutwater Frankfurt;111842;LS73959;ja;09.01.2026;Logistik;26603;DEURAG Deutsche Rechtsschutz-V;DEURAG Deutsche Rechtsschutz-Versic;Abraham-Lincoln-Str. 3;65189;Wiesbaden;;;;
aboutwater Frankfurt;111843;LS73960;ja;09.01.2026;Logistik;26603;DEURAG Deutsche Rechtsschutz-V;DEURAG Deutsche Rechtsschutz-Versic;Abraham-Lincoln-Str. 3;65189;Wiesbaden;;;;
aboutwater Frankfurt;111844;LS73961;ja;09.01.2026;Logistik;26603;DEURAG Deutsche Rechtsschutz-V;DEURAG Deutsche Rechtsschutz-Versic;Abraham-Lincoln-Str. 3;65189;Wiesbaden;;;;
aboutwater Frankfurt;111845;LS73962;ja;09.01.2026;Logistik;26603;DEURAG Deutsche Rechtsschutz-V;DEURAG Deutsche Rechtsschutz-Versic;Abraham-Lincoln-Str. 3;65189;Wiesbaden;;;;
aboutwater Frankfurt;111846;LS73963;ja;09.01.2026;Logistik;26603;DEURAG Deutsche Rechtsschutz-V;DEURAG Deutsche Rechtsschutz-Versic;Abraham-Lincoln-Str. 3;65189;Wiesbaden;;;;
aboutwater Frankfurt;111847;LS73964;ja;09.01.2026;Logistik;26603;DEURAG Deutsche Rechtsschutz-V;DEURAG Deutsche Rechtsschutz-Versic;Abraham-Lincoln-Str. 3;65189;Wiesbaden;;;;
aboutwater Frankfurt;111848;LS73965;ja;09.01.2026;Logistik;26603;DEURAG Deutsche Rechtsschutz-V;DEURAG Deutsche Rechtsschutz-Versic;Abraham-Lincoln-Str. 3;65189;Wiesbaden;;;;
aboutwater Frankfurt;111849;LS73966;ja;03.02.2026;Logistik;26484;HCC 2;Regierungspräsidium Gießen;Cargo City Süd, Geb. 587a;60549;Frankfurt am Main;;;;
VST Schörling;111850;LS73967;ja;09.02.2026;Logistik;24785;Bayerischer Oberster Rechnungs;Bayerischer Oberster Rechnungshof;Kaulbachstr. 9;80539;München;;;;
VST Schörling;111851;LS73968;ja;09.02.2026;Logistik;24785;Bayerischer Oberster Rechnungs;Bayerischer Oberster Rechnungshof;Kaulbachstr. 9;80539;München;;;;
VST Schörling;111852;LS73969;ja;09.02.2026;Logistik;24785;Bayerischer Oberster Rechnungs;Bayerischer Oberster Rechnungshof;Kaulbachstr. 9;80539;München;;;;
Gänshirt-Aufmbruch;111853;LS73970;ja;16.01.2026;Logistik;26602;INTEC (2) Mülheim;INTEC Industrie-Technik  GmbH;Timmerhellstr. 35;45478;Mühlheim an der Ruhr;;;;
aboutwater Frankfurt;111854;LS73971;ja;09.01.2026;Logistik;26526;MWB;MWB - Mittelhessische Wasserbetriebe;Lahnstraße 218;35398;Gießen;;;;
Ines Rütz Appen;111855;LS73972;ja;03.03.2026;Logistik;26589;Norbulb;Norbulb Sprinkler Elemente GmbH;Robert-Koch-Straße 25a;22851;Norderstedt;;;;
Ines Rütz Appen;111856;LS73973;ja;03.03.2026;Logistik;26589;Norbulb;Norbulb Sprinkler Elemente GmbH;Robert-Koch-Straße 25a;22851;Norderstedt;;;;
Ines Rütz Appen;111857;LS73974;ja;13.01.2026;Logistik;26595;Toll Global Forwarding Germany;Toll Global Forwarding Germany GmbH;Große Elbstrasse 86;22767;Hamburg;;;;
VST Schörling;111858;LS73975;ja;04.02.2026;Logistik;26675;XPeng Motors (Germany) GmbH;XPeng Motors (Germany) GmbH;Weimarer Straße 32;80807;München;;;;
Ines Rütz Appen;111859;LS73976;nein;09.01.2026;Logistik;26525;De Villa GmbH;De Villa GmbH;Bahnhofstraße 10;22880;Wedel;;;;
Berlin Wein König;111860;LS73977;ja;09.03.2026;Logistik;21144;Knotel;Knotel Berlin I GmbH;Stralauer Allee 2b;10245;Berlin;;;;
Berlin Wein König;111861;LS73978;ja;09.03.2026;Logistik;21144;Knotel;Knotel Berlin I GmbH;Stralauer Allee 2b;10245;Berlin;;;;
aboutwater Bünde;111862;LS73979;ja;21.01.2026;Logistik;26662;SAINT-GOBAIN RESEARCH GERMANY;Saint Gobain Sekurit Deutschland GmbH;Glasstraße 1;52134;Herzogenrath;;;;
aboutwater Bünde;111863;LS73980;ja;21.01.2026;Logistik;26662;SAINT-GOBAIN RESEARCH GERMANY;Saint Gobain Sekurit Deutschland GmbH;Glasstraße 1;52134;Herzogenrath;;;;
aboutwater Bünde;111864;LS73981;ja;21.01.2026;Logistik;26662;SAINT-GOBAIN RESEARCH GERMANY;Saint Gobain Sekurit Deutschland GmbH;Glasstraße 1;52134;Herzogenrath;;;;
aboutwater Bünde;111865;LS73982;ja;09.01.2026;Logistik;26662;SAINT-GOBAIN RESEARCH GERMANY;Saint Gobain Sekurit Deutschland GmbH;Glasstraße 1;52134;Herzogenrath;;;;
aboutwater Bünde;111866;LS73983;ja;21.01.2026;Logistik;26662;SAINT-GOBAIN RESEARCH GERMANY;Saint Gobain Sekurit Deutschland GmbH;Glasstraße 1;52134;Herzogenrath;;;;
aboutwater Bünde;111867;LS73984;ja;21.01.2026;Logistik;26662;SAINT-GOBAIN RESEARCH GERMANY;Saint Gobain Sekurit Deutschland GmbH;Glasstraße 1;52134;Herzogenrath;;;;
STK Service;111873;LS73985;ja;14.01.2026;Logistik;20208;Hotshot Kaffee e. K.;Total Safety GmbH;Kerkrader Straße / TOR 2;50997;Köln;;;;
Planegg;111874;LS73986;ja;09.01.2026;Logistik;23315;Pera Coiffeur;Pera Coiffeur;Bahnhofstrße 18 b;85375;Neufahrn;;;;
Planegg;111875;LS73987;ja;13.01.2026;Logistik;23356;edgeconnex;Edgeconnex GmbH;Landsberger Str. 155 (Haus 4);80687;München;;;;
Planegg;111877;LS73988;ja;13.01.2026;Logistik;23929;Regus Vivid;Vivid Resourcing GmbH;Mühldorfstr. 8;81671;München;;;;
Planegg;111878;LS73989;ja;19.01.2026;Logistik;23966;Elflein Logistik Bamberg;Elflein Logistik Bamberg GmbH;Hufeland Straße 20;80937;München;;;;
Planegg;111879;LS73990;ja;15.01.2026;Logistik;23872;Ara 8;Goodfruit;Boschstr. 5 / 2.OG;82178;Puchheim;;;;
aboutwater Frankfurt;111880;LS73991;ja;09.01.2026;Logistik;24614;RMS Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;Am Hauptbahnhof 6;60329;Frankfurt;;;;
aboutwater Frankfurt;111881;LS73992;ja;10.01.2026;Logistik;24614;RMS Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;Am Hauptbahnhof 6;60329;Frankfurt;;;;
Planegg;111882;LS73993;ja;14.01.2026;Logistik;24996;Königl.Thailänd.Generalkonsula;Königlich Thailändisches Generalkonsulat;Törringstraße 20;81675;München;;;;
Planegg;111883;LS73994;ja;09.01.2026;Logistik;25090;Eavor GmbH;Eavor Erdwärme Geretsried GmbH & Co.KG;Herrnhauser Str. 75;82538;Geretsried;;;;
Planegg;111885;LS73996;ja;15.01.2026;Logistik;24376;Schenker Deutschland AG;Schenker Deutschland AG;Freisinger Str. 15-19;85386;Eching;;;;
Planegg;111888;LS73999;ja;13.01.2026;Logistik;24226;Kirinus (1) Sendlinger Tor;KIRINUS Praxis GmbH;Sendlinger Tor Platz 7;80336;München;;;;
AQUATRADE Glinde;111889;LS74000;ja;19.01.2026;Logistik;23355;Falck Buxtehude;Falck Notfallrettung u.Katastrophenschutz;Alter Postweg 42;21614;Buxtehude;;;;
STK Service;111876;LS74001;ja;16.01.2026;Estaline Philander;21237;Berufstrainingszentrum BTZ;Berufstrainingszentrum Rhein-Ruhr gGmbH;Bebelstr. 56  / Tel. 0208 409400-59;46049;Oberhausen;;;;
aboutwater Frankfurt;110229;LS74002;ja;09.01.2026;Carmen Berger;26721;Wendt-Noise;Wendt-Noise Control GmbH;Beindersheimer Str. 79;67227;Frankenthal;;;;
aboutwater Frankfurt;110415;LS74003;ja;09.01.2026;Carmen Berger;24614;RMS Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;Poststraße 2-4;60329;Frankfurt;;;;
Planegg;;LS74004;ja;01.02.2026;Petra Gräf;20437;Marco Hetfleisch;Jochum Holzwerke;Augsburger Straße 34;86441;Zusmarshausen;;;;
aboutwater Frankfurt;110416;LS74005;ja;09.01.2026;Carmen Berger;24614;RMS Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;Am Hauptbahnhof 6;60329;Frankfurt;;;;
aboutwater Frankfurt;110209;LS74006;ja;09.01.2026;Carmen Berger;26699;Getraenke Online Shop;Getraenkeonline;Am Bärnroth 3;97839;Esselbach;;;;
aboutwater Frankfurt;110389;LS74007;ja;09.01.2026;Carmen Berger;24722;Primark Frankfurt Wisag Hessen;Primark Store 809;Zeil 94;60313;Frankfurt;;;;
Planegg;111891;LS74008;ja;12.01.2026;Sönke Rocho;21144;Knotel;Knotel Berlin I GmbH;Stralauer Allee 2b;10245;Berlin;;;;
Planegg;;LS74009;ja;12.01.2026;Petra Gräf;20998;Gräf Petra;Petra Gräf;Wolkerweg 13;81375;München;;;;
Kyffhäuser;111893;LS74010;ja;15.01.2026;Petra Gräf;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Kaiserslauterer Str. 75;06128;Halle (Saale);;;;
Planegg;111894;LS74011;ja;19.01.2026;Estaline Philander;23966;Elflein Logistik Bamberg;Elflein Logistik Bamberg GmbH;Gutenbergstraße 1 b;85748;Garching;;;;
Planegg;111895;LS74012;ja;21.01.2026;Estaline Philander;22195;Quartz Regensburg MVZ/Neumaier;Quartz Regensburg MVZ GmbH;Krankenhausstraße 6;84066;Mallersdorf;;;;
aboutwater Bünde;110414;LS110414;ja;07.01.2026;Petra Gräf;26347;Hörmann KG (2) Bremen;Hörmann KG Verkaufsgesellschaft;Mittelwendung 25;28844;Weyhe;;;;
Planegg;;LS74014;ja;08.01.2026;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Planegg;;LS74015;ja;07.01.2026;Rene Kühn;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Schöttle - Haiterbach;111898;LS74016;ja;15.01.2026;Florian Gräf;22285;Night Star;Night Star Express Honold GmbH;Siemensstraße 32;71254;Dietzingen;;;;
Gänshirt-Aufmbruch;111899;LS74017;ja;16.01.2026;Carmen Berger;25571;Flohe Cable Technologies (2);FLOHE Cable Technologies GmbH;Rheinstr. 19;44579;Castrop-Rauxel;;;;
VST Schörling;;LS74018;ja;14.01.2026;Carmen Berger;21817;Notenversand Kurt Maas;Notenversand Kurt Maas GmbH & Co KG;Eugen-Friedl-Str. 3a;82340;Feldafing;;;;
Planegg;111901;LS74019;ja;12.01.2026;Mihaela Abmayr;27139;Georg Kaemmerer-Riepe;Georg Kaemmerer-Riepe;Meindorfer Strasse 153, Meindorfer;53757;Sankt Augustin;;;;
AQUATRADE Bram;111904;LS74020;ja;14.01.2026;Estaline Philander;24088;Zahnmanufaktur Emsland ZME;Zahnmanufaktur Emsland - ZME GmbH;Lengericher Str. 7;49809;Lingen;;;;
Planegg;111902;LS74021;ja;12.01.2026;Florian Gräf;25291;bePure;WALUTEC Germany GmbH;Neheimerstr. 10;59469;Ense;;;;
Planegg;111903;LS74022;ja;12.01.2026;Mihaela Abmayr;27140;Petra Dres;Petra Dres;Brunckstr. 4;67346;Sepyer;;;;
Planegg;110377;LS71975.;ja;08.01.2026;Petra Gräf;23872;Ara 8;Goodfruit;Boschstr. 5 / 2.OG;82178;Puchheim;;;;
Planegg;111905;LS74024;ja;15.01.2026;Josefine Mättig;10009;Propie-Aqua vorm.Support Wolf;Spessart-Klinik Bad Orb GmbH;Würzburger Straße 7-13;63619;Bad Orb;;;;
Emons;111906;LS74025;ja;12.01.2026;Josefine Mättig;21899;Amazon Deutschland N6 Trans.;Amazon Deutschland N6 Transport GmbH;Adolf-Oesterheld-Strasse 32;31515;Wunstorf;;;;
Gänshirt-Aufmbruch;103875;LS69837.;ja;12.01.2026;Mihaela Abmayr;23232;BIVANO (Böhmer);BIVANO GmbH;Marie-Bernays-Ring 39;41199;Mönchengladbach;;;;
Planegg;111907;LS74027;ja;12.01.2026;Josefine Mättig;21731;Amazon Spain;Attn: Chloe Emelyne;Av. Can Magarola, 127;08100;Mollet del Valles;;;;
